azim,zen,trrot,aoi,truetrack,backtrack
337.7162822,5.717258894,2.167940455,3.051607274,2.167940455,0
284.8647524,16.57080469,16.01154227,2.043786693,16.01154227,0
273.0410003,29.70110042,29.6560482,0.43948043,29.6560482,0
266.193085,42.97810355,43.0060111,4.232881298,43.0060111,0
260.5346149,56.16479776,56.07712247,9.105316016,56.07712247,0
255.0214172,69.13236082,27.23335522,43.84938846,65.13350728,37.90015206
249.1113465,81.71284519,27.23335522,57.39274876,65.13350728,37.90015206
242.3414613,93.93936994,65.13350728,40.07164262,65.13350728,0
234.1818534,105.2523327,65.13350728,53.84479626,65.13350728,0
223.9784923,115.315031,65.13350728,67.71855238,65.13350728,0
211.0444872,123.4404773,65.13350728,81.53873332,65.13350728,0
195.122682,128.6886101,65.13350728,90,65.13350728,0
177.2299379,130.136051,-84.86649272,90,-84.86649272,0
159.7256431,127.4660809,-84.86649272,77.47051342,-84.86649272,0
144.6722364,121.2396789,-84.86649272,63.66499353,-84.86649272,0
132.6216443,112.4385699,-84.86649272,50.12702423,-84.86649272,0
123.1063092,101.9369821,-84.86649272,37.25997721,-84.86649272,0
115.4222183,89.80792897,-46.96634066,49.38213401,-84.86649272,37.90015206
108.9518964,77.96202339,-78.03686422,18.9981663,-78.03686422,0
103.1931298,65.23660712,-65.09574332,12.91194395,-65.09574332,0
97.67552829,52.18813988,-52.14694424,7.434314943,-52.14694424,0
91.76522805,38.9602669,-38.99566535,2.8506703,-38.99566535,0
83.99775883,25.69436124,-25.54472171,0.578557434,-25.54472171,0
67.62362567,12.77771906,-11.81386543,2.638357384,-11.81386543,0
339.0993304,5.809781034,2.072743652,3.188767511,2.072743652,0
285.4358777,16.53283007,15.93226715,2.190886368,15.93226715,0
273.3615534,29.64823458,29.59253913,0.284734022,29.59253913,0
266.4265149,42.92569984,42.95675058,4.072784793,42.95675058,0
260.7285323,56.11812815,56.03955541,8.941814343,56.03955541,0
255.1965168,69.09481042,27.23335522,43.77702262,65.13350728,37.90015206
249.2792481,81.68779099,27.23335522,57.32990039,65.13350728,37.90015206
242.5099104,93.93011353,65.13350728,39.95123878,65.13350728,0
234.356092,105.2640458,65.13350728,53.74029898,65.13350728,0
224.1601286,115.3538819,65.13350728,67.62791183,65.13350728,0
211.2273021,123.5131052,65.13350728,81.46185886,65.13350728,0
195.2871213,128.7988151,65.13350728,90,65.13350728,0
177.3477987,130.2794382,-84.86649272,90,-84.86649272,0
159.7820383,127.6295753,-84.86649272,77.56007139,-84.86649272,0
144.6755689,121.4093537,-84.86649272,63.73842161,-84.86649272,0
132.5887747,112.6057344,-84.86649272,50.17918238,-84.86649272,0
123.0499814,102.0979139,-84.86649272,37.2795686,-84.86649272,0
115.3489191,89.93652234,-46.96634066,49.46477311,-84.86649272,37.90015206
108.8632132,78.10789793,-78.19383621,18.91590917,-78.19383621,0
103.0866684,65.37701651,-65.2455477,12.8239527,-65.2455477,0
97.54431162,52.32381915,-52.2888706,7.337543111,-52.2888706,0
91.59438155,39.09323998,-39.12859775,2.742845739,-39.12859775,0
83.75472383,25.82916042,-25.66673018,0.698741825,-25.66673018,0
67.25929708,12.92881863,-11.9225451,2.771076801,-11.9225451,0
340.4428782,5.912961716,1.979573057,3.333047334,1.979573057,0
286.0299677,16.50102136,15.85580405,2.344837445,15.85580405,0
273.6957768,29.6001415,29.53255033,0.12346261,29.53255033,0
266.6695765,42.87776545,42.91161302,3.906508038,42.91161302,0
260.9300168,56.07596057,56.00661004,8.772451066,56.00661004,0
255.3779845,69.06195255,27.23335522,43.70821649,65.13350728,37.90015206
249.4527501,81.66768626,27.23335522,57.27080514,65.13350728,37.90015206
242.6833976,93.92625904,65.13350728,39.83176051,65.13350728,0
234.5348336,105.2816336,65.13350728,53.6375853,65.13350728,0
224.3455396,115.3991332,65.13350728,67.53968904,65.13350728,0
211.4126405,123.5926302,65.13350728,81.38795823,65.13350728,0
195.4519535,128.9161867,65.13350728,90,65.13350728,0
177.4631743,130.4297438,-84.86649272,90,-84.86649272,0
159.8333505,127.7991197,-84.86649272,77.6474075,-84.86649272,0
144.6723577,121.5838721,-84.86649272,63.80901205,-84.86649272,0
132.548863,112.7765552,-84.86649272,50.22781589,-84.86649272,0
122.986534,102.2615017,-84.86649272,37.29477741,-84.86649272,0
115.2684685,90.06593323,-84.86649272,25.96068603,-84.86649272,0
108.7671895,78.25500547,-78.35214777,18.82627817,-78.35214777,0
102.9723764,65.51823929,-65.39644655,12.72858891,-65.39644655,0
97.40428026,52.46002979,-52.43148033,7.233384319,-52.43148033,0
91.41284707,39.22666212,-39.2616666,2.627630432,-39.2616666,0
